Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
3jharris,wendys,Open,06/27/2011,,"20 to 99",1,VA
"3M Company - Maplewood",,Open,08/12/2016,,"10,000 and over",85,"AK, AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, IL, IN, KY, MA, MD, MI, MN, MO, NC, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, WA, WI"
"3P Learning Inc.","3P Learning Inc.",Open,06/28/2019,,"20 to 99",23,"CA, FL, IL, NY, RI, TX, VA, WI"
"3Pillar Global",,Open,06/13/2016,,"20 to 99",1,VA
"3Q Digital",,Open,04/13/2018,,"100 to 499",8,"CA, IL, NC, NY, TX, VA, VT"
"3Q Digital, inc.",,Open,05/10/2018,,"100 to 499",14,"CA, CO, IL, NC, NY, TX, VA, VT"
"3Sixty Holdings, LLC","AIS Network",Open,10/05/2017,,"10 to 19",1,VA
"3T Federal Solutions LLC",,Open,09/25/2018,,"5 to 9",2,"TX, VA"
"3T International, Inc.",,Open,12/31/2014,,"20 to 99",1,VA
"3Z, LLC",SERVE,Open,03/04/2020,,"5 to 9",1,VA
"4 CS Delivery Inc.",,Open,09/16/2010,,"5 to 9",1,VA
"4 Star Technologies, Inc.","4 Star Technologies, Inc.",Open,05/30/2018,,"5 to 9",1,VA
"4-Star Contracting",,Open,06/29/2017,,"20 to 99",3,"MD, NC, VA"
"413, LLC","413 LLC",Open,07/08/2021,,"10 to 19",2,"FL, VA"
"4165 AZALEA GARDEN NORFOLK LLC",,Open,09/22/2020,,"20 to 99",1,VA
"4166 FREDERICK PORTSMOUTH LLC",,Open,09/22/2020,,"20 to 99",1,VA
"4167 WEST MERCURY HAMPTON LLC",,Open,09/22/2020,,"20 to 99",1,VA
"4168 MONTICELLO NORFOLK LLC",,Open,09/22/2020,,"20 to 99",1,VA
"4170 DENBIGH NEWPORT NEWS LLC",,Open,09/22/2020,,"20 to 99",1,VA
"4173 WEST MERCURY BOULEVARD HAMPTON",,Open,09/22/2020,,"10 to 19",1,VA
"425 Water, LLC",,Open,06/09/2021,,"100 to 499",1,VA
4325944282,,Open,02/01/2011,,"10 to 19",3,"DE, NJ, VA"
"4417 W. Hundred Road LLC",,Open,01/10/2008,,"10 to 19",1,VA
"473 Group LLC",,Open,02/14/2023,,"5 to 9",1,VA
"48forty Solutions LLC",,Open,05/29/2018,,"1,000 to 2,499",74,"AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, LA, MA, MI, MN, MO, MS, NC, NJ, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, VI, WA, WI"
"4C Health Solutions, Inc.",,Open,01/05/2022,,"20 to 99",2,"DE, VA"
"4C North America, Inc.","4C North America, Inc.",Open,10/21/2021,,"20 to 99",,"FL, VA"
"4Nineteen Group LLC","Got Fish Seafood",Open,08/06/2020,,"20 to 99",1,VA
"4P Foods",,Open,05/21/2021,,"20 to 99",2,VA
"4S Communications Inc",,Open,04/18/2013,,"5 to 9",1,VA
"4S-Silversword Software and Services, LLC",,Open,11/11/2019,,"20 to 99",4,"HI, MD, VA"
"4Ugen3 INC",,Open,03/08/2019,,"5 to 9",1,VA
"4X Concrete LLC",,Open,03/10/2017,,"20 to 99",1,VA
"5 STAR SERVICES OF VA","5 STAR SERVICES",Open,04/08/2016,,"20 to 99",1,VA
"5 Star Services of Virginia Inc",,Open,03/22/2023,,"20 to 99",1,VA
"50 Kingsmill, LLC",,Open,06/09/2021,,"20 to 99",1,VA
"501 Franklin, LLC",,Open,04/13/2022,,"20 to 99",1,VA
"533 Jefferson Davis Highway LLC",,Open,01/10/2008,,"10 to 19",1,VA
"540.co, LLC",,Open,02/12/2020,,"20 to 99",1,VA
"5600 Franconia",,Open,09/21/2021,,"20 to 99",1,VA
"5AM Solutions, Inc.","5AM Solutions, Inc.",Open,03/29/2011,,"20 to 99",1,VA
"5sparrows, Inc",,Open,10/08/2010,,"10 to 19",3,VA
"5X EXPRESS INC","EX EXPRESS INC",Open,10/04/2015,,"10 to 19",1,VA
"5X EXPRESS INC.",,Open,05/09/2016,,"10 to 19",1,VA
"623 Landfill Inc",,Open,09/21/2010,,"10 to 19",1,VA
"6261 LRTP INC",,Open,03/17/2020,,"5 to 9",1,VA
"633d Force Support Squadron",,Open,09/03/2008,,"500 to 999",2,VA
"7 eleven",,Open,03/06/2019,,"5 to 9",1,VA
"7 eleven","omkar business group inc",Open,10/02/2019,,"5 to 9",1,VA
"7 eleven","Zubair enterprises",Open,03/05/2019,,"5 to 9",1,VA
7-Eleven,,Open,07/15/2016,,"10,000 and over",1191,"CA, CO, CT, DC, DE, FL, IA, IL, IN, KS, KY, MA, MD, ME, MI, MO, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TX, UT, VA, VT, WA, WI, WV"
7-Eleven,"Lipes, Inc.",Open,01/29/2019,,"20 to 99",2,VA
"7-ELEVEN & RISHIRAMKHANAL",7-ELEVEN,Open,01/29/2019,,"10 to 19",1,VA
"700 Main HMWD, LLC",,Open,06/08/2021,,"20 to 99",1,VA
"700 Main Roof, LLC",,Open,06/09/2021,,"20 to 99",1,VA
"7A4 Life Bridge Dental VA, PLLC",,Open,11/15/2021,,"20 to 99",2,VA
"7Cs Maintenance",,Open,02/14/2014,,"100 to 499",31,"AZ, CO, DC, FL, HI, IL, MD, NJ, NY, PA, TN, TX, VA"
7diamonds,,Open,03/25/2021,,"20 to 99",1,VA
"81 Express Logistics, LLC",,Open,04/28/2022,,"10 to 19",1,VA
815335572,,Open,03/07/2019,,"5 to 9",2,"NC, VA"
"84 Lumber Company",,Open,12/16/2014,,"1,000 to 2,499",269,"AL, AZ, CA, CO, CT, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NJ, NM, NV, NY, OH, PA, SC, TN, TX, VA, WV"
"88 DRAGONS PR INC.",,Open,04/19/2020,,"5 to 9",1,VA
"909 Main LLC",,Open,06/09/2021,,"20 to 99",1,VA
"9to5ITNeeds LLC",,Open,01/12/2022,,"20 to 99",1,VA
"@Legal Discovery LLC","Legal Discovery or @Legal",Open,10/22/2010,,"5 to 9",1,VA
"A & A ACCOUNTING AND TAX SERVICE INC",,Open,07/14/2022,,"5 to 9",1,VA
"A & A CONTRACTORS, LLC",,Open,12/16/2022,,"20 to 99",1,VA
"A & A Enterprises, Inc.",,Open,03/06/2019,,"20 to 99",1,VA
"A & D Network Solutions Inc",Foodler,Open,01/17/2017,,"20 to 99",91,"AZ, CA, CT, FL, IL, MA, ME, MO, NC, NY, OR, TX, VA"
"A & J Brands, LLC","A & J Brands",Open,03/21/2013,,"10 to 19",1,VA
"A & J Flooring contractors LLC",,Open,10/22/2020,,"5 to 9",1,VA
"A & L RV Sales, LLC",,Open,04/29/2020,,"20 to 99",6,"GA, TN, VA"
"A & L RV Sales, LLC",,Open,03/11/2022,,"100 to 499",7,"GA, TN, VA"
"A & L RV Sales, LLC","A&L RV Sales",Open,08/19/2021,,"100 to 499",7,"GA, TN, VA"
"A & R Mechanical Insulation, Inc",,Open,05/17/2011,,"10 to 19",1,VA
"A + Concrete, Inc.",,Open,03/01/2011,,"10 to 19",1,VA
"A 1 Carpet Service, Inc.","A 1 Nationwide Commercial Flooring",Open,02/05/2011,,"5 to 9",1,VA
"A A ALTIMATE HOME CARE INC.","A A ALTIMATE HOME CARE INC.",Open,10/16/2022,,"10 to 19",1,VA
"A All About Care, LLC",,Open,11/22/2022,,"20 to 99",1,VA
"A and W Contracint Corp",,Open,11/12/2012,,"20 to 99",1,VA
"A Beautiful Mind, LLC",,Open,05/07/2015,,"10 to 19",1,VA
"A Circle Of Love Home Care LLC","A Circle Of Love Home Care LLC",Open,02/03/2023,,"5 to 9",1,VA
"A Cut Above, A Complete Landscaping Company LLC","A Cut Above Professional Lawn Care LLC",Open,03/14/2018,,"10 to 19",1,VA
"A D T, Inc.","Prime Air Products Co.",Open,09/12/2014,,"5 to 9",1,VA
"A DESIGN GROUP, LLC",,Open,03/22/2022,,"5 to 9",1,VA
